"usair.dat" <- 
structure(.Data = list(c(10., 13., 12., 17., 56., 36., 29., 14., 10., 24., 110., 28., 17., 8., 30., 9., 47., 35., 29., 14., 56., 14.,
	11., 46., 11., 23., 65., 26., 69., 61., 94., 10., 18., 9., 10., 28., 31., 26., 29., 31., 16.)
, c(-70.299999999999997, -61., -56.700000000000003, -51.899999999999999, -49.100000000000001, -54., 
	-57.299999999999997, -68.400000000000006, -75.5, -61.5, -50.600000000000001, -52.299999999999997, -49.,
	-56.600000000000001, -55.600000000000001, -68.299999999999997, -55., -49.899999999999999, -43.5, -54.5,
	-55.899999999999999, -51.5, -56.799999999999997, -47.600000000000001, -47.100000000000001, -54., 
	-49.700000000000003, -51.5, -54.600000000000001, -50.399999999999999, -50., -61.600000000000001, 
	-59.399999999999999, -66.200000000000003, -68.900000000000006, -51., -59.299999999999997, 
	-57.799999999999997, -51.100000000000001, -55.200000000000003, -45.700000000000003)
, c(213., 91., 453., 454., 412., 80., 434., 136., 207., 368., 3344., 361., 104., 125., 291., 204., 625., 1064., 699.,
	381., 775., 181., 46., 44., 391., 462., 1007., 266., 1692., 347., 343., 337., 275., 641., 721., 137., 96.,
	197., 379., 35., 569.)
, c(582., 132., 716., 515., 158., 80., 757., 529., 335., 497., 3369., 746., 201., 277., 593., 361., 905., 1513.,
	744., 507., 622., 347., 244., 116., 463., 453., 751., 540., 1950., 520., 179., 624., 448., 844., 1233.,
	176., 308., 299., 531., 71., 717.)
, c(6., 8.1999999999999993, 8.6999999999999993, 9., 9., 9., 9.3000000000000007, 8.8000000000000007, 9., 
	9.0999999999999996, 10.4, 9.6999999999999993, 11.199999999999999, 12.699999999999999, 8.3000000000000007,
	8.4000000000000004, 9.5999999999999996, 10.1, 10.6, 10., 9.5, 10.9, 8.9000000000000004, 8.8000000000000007,
	12.4, 7.0999999999999996, 10.9, 8.5999999999999996, 9.5999999999999996, 9.4000000000000004, 10.6, 
	9.1999999999999993, 7.9000000000000004, 10.9, 10.800000000000001, 8.6999999999999993, 10.6, 
	7.5999999999999996, 9.4000000000000004, 6.5, 11.800000000000001)
, c(7.0499999999999998, 48.520000000000003, 20.66, 12.949999999999999, 43.369999999999997, 40.25, 38.890000000000001,
	54.469999999999999, 59.799999999999997, 48.340000000000003, 34.439999999999998, 38.740000000000002, 
	30.850000000000001, 30.579999999999998, 43.109999999999999, 56.770000000000003, 41.310000000000002, 
	30.960000000000001, 25.940000000000001, 37., 35.890000000000001, 30.18, 7.7699999999999996, 
	33.359999999999999, 36.109999999999999, 39.039999999999999, 34.990000000000002, 37.009999999999998, 39.93,
	36.219999999999999, 42.75, 49.100000000000001, 46., 35.939999999999998, 48.189999999999998, 15.17, 44.68,
	42.590000000000003, 38.789999999999999, 40.75, 29.07)
, c(36., 100., 67., 86., 127., 114., 111., 116., 128., 115., 122., 121., 103., 82., 123., 113., 111., 129., 137.,
	99., 105., 98., 58., 135., 166., 132., 155., 134., 115., 147., 125., 105., 119., 78., 103., 89., 116.,
	115., 164., 148., 123.)
)
, names = c("SO2", "Neg.Temp", "Manuf", "Pop", "Wind", "Precip", "Days")
, row.names = c("Phoenix", "Little Rock", "San Francisco", "Denver", "Hartford", "Wilmington", "Washington", "Jacksonville",
	"Miami", "Atlanta", "Chicago", "Indianapolis", "Des Moines", "Wichita", "Louisville", "New Orleans", 
	"Baltimore", "Detroit", "Minneapolis-St. Paul", "Kansas City", "St. Louis", "Omaha", "Alburquerque", 
	"Albany", "Buffalo", "Cincinnati", "Cleveland", "Columbus", "Philadelphia", "Pittsburgh", "Providence",
	"Memphis", "Nashville", "Dallas", "Houston", "Salt Lake City", "Norfolk", "Richmond", "Seattle", 
	"Charleston", "Milwaukee")
, class = "data.frame"
)

